[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.14', ' 0.62', ' 0.00', ' 0.00', ' 1.39', ' 1.28', ' 0.00', ' 0.00', ' 0.00', ' 0.40', ' 0.64', ' 0.33', ' 0.07']
['emma_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.56', ' 0.00', ' 0.00', ' 1.27', ' 1.33', ' 0.00', ' 0.00', ' 0.00', ' 0.28', ' 0.60', ' 0.29', ' 0.09']
['emma_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 0.00', ' 0.00', ' 1.27', ' 1.20', ' 0.00', ' 0.00', ' 0.06', ' 0.33', ' 0.50', ' 0.24', ' 0.05']
['emma_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.81', ' 0.00', ' 0.00', ' 1.30', ' 1.23', ' 0.00', ' 0.00', ' 0.01', ' 0.47', ' 0.45', ' 0.23', ' 0.11']
['emma_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.08', ' 0.82', ' 0.00', ' 0.00', ' 1.22', ' 1.25', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 0.44', ' 0.00', ' 0.07']
['emma_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.10', ' 0.49', ' 0.00', ' 0.00', ' 1.15', ' 1.15', ' 0.00', ' 0.04', ' 0.00', ' 0.46', ' 0.35', ' 0.02', ' 0.00']
['emma_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.07', ' 0.60', ' 0.00', ' 0.00', ' 1.06', ' 1.00', ' 0.00', ' 0.00', ' 0.03', ' 0.37', ' 0.26', ' 0.22', ' 0.00']
['emma_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.25', ' 0.00', ' 0.00', ' 0.95', ' 1.10', ' 0.00', ' 0.00', ' 0.01', ' 0.39', ' 0.21', ' 0.22', ' 0.04']
['emma_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.39', ' 0.00', ' 0.00', ' 0.93', ' 1.09', ' 0.00', ' 0.00', ' 0.00', ' 0.44', ' 0.22', ' 0.34', ' 0.04']
['emma_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.44', ' 0.00', ' 0.00', ' 0.91', ' 1.07', ' 0.00', ' 0.00', ' 0.01', ' 0.38', ' 0.15', ' 0.29', ' 0.08']
['emma_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 0.00', ' 0.84', ' 1.24', ' 0.00', ' 0.07', ' 0.00', ' 0.42', ' 0.06', ' 0.20', ' 0.07']
['emma_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.85', ' 0.00', ' 0.00', ' 1.30', ' 0.91', ' 0.00', ' 0.00', ' 0.14', ' 0.19', ' 1.04', ' 0.94', ' 0.00']
['obama_0.3.csv', ' 0.31', ' 0.16', ' 0.00', ' 0.00', ' 1.58', ' 0.13', ' 0.34', ' 1.51', ' 1.76', ' 1.35', ' 0.00', ' 1.05', ' 0.00', ' 0.50', ' 1.86', ' 0.00', ' 0.09']
['obama_0.32.csv', ' 0.49', ' 0.29', ' 0.00', ' 0.12', ' 1.68', ' 0.28', ' 0.42', ' 1.47', ' 1.73', ' 1.17', ' 0.00', ' 1.13', ' 0.00', ' 0.49', ' 1.93', ' 0.00', ' 0.05']
['obama_0.34.csv', ' 0.44', ' 0.07', ' 0.00', ' 0.00', ' 1.61', ' 0.13', ' 0.51', ' 1.48', ' 1.74', ' 1.27', ' 0.00', ' 1.26', ' 0.00', ' 0.53', ' 1.98', ' 0.00', ' 0.07']
['obama_0.36.csv', ' 0.18', ' 0.09', ' 0.00', ' 0.00', ' 1.56', ' 0.15', ' 0.58', ' 1.53', ' 1.75', ' 1.30', ' 0.00', ' 1.18', ' 0.00', ' 0.69', ' 1.97', ' 0.00', ' 0.00']
['obama_0.38.csv', ' 0.55', ' 0.15', ' 0.00', ' 0.00', ' 1.60', ' 0.07', ' 0.80', ' 1.66', ' 1.85', ' 1.28', ' 0.00', ' 1.61', ' 0.00', ' 0.75', ' 1.91', ' 0.00', ' 0.01']
['obama_0.4.csv', ' 0.47', ' 0.05', ' 0.00', ' 0.15', ' 1.69', ' 0.33', ' 0.87', ' 1.74', ' 1.79', ' 1.42', ' 0.00', ' 1.59', ' 0.00', ' 0.67', ' 1.77', ' 0.00', ' 0.03']
['obama_0.42.csv', ' 0.33', ' 0.12', ' 0.00', ' 0.00', ' 1.60', ' 0.30', ' 1.03', ' 1.67', ' 1.56', ' 1.07', ' 0.00', ' 1.58', ' 0.00', ' 0.78', ' 1.88', ' 0.00', ' 0.01']
['obama_0.44.csv', ' 0.14', ' 0.06', ' 0.00', ' 0.00', ' 1.47', ' 0.00', ' 1.04', ' 1.77', ' 1.50', ' 0.99', ' 0.00', ' 1.48', ' 0.43', ' 0.74', ' 1.64', ' 0.01', ' 0.00']
